Pin Designator,Net Name
3,scan_en
5,scan_out_serdes_b_p
7,scan_out_serdes_a_p
9,test_en_i
11,fast_clk_i
13,redundancy_sel_IC
15,redundancy_sel_CSR
17,redundancy_sel_LSU
19,redundancy_sel_ID
21,scan_out_tb2_r
23,scan_in_tb2_r
25,scan_out_db2_r
27,scan_in_db2_r
29,scan_out_tb1_r
31,scan_in_tb1_r
37,scan_rst_ni
39,scan_in_serdes_b_p
41,scan_in_serdes_a_p
43,rst_ni
45,slow_clk_i
47,redundancy_sel_RF
49,redundancy_sel_WB
51,redundancy_sel_EX
53,redundancy_sel_IF
55,scan_out_tb2_p
57,scan_in_tb2_p
59,scan_out_db2_p
61,scan_in_db2_p
63,scan_out_tb1_p
65,scan_in_tb1_p
2,VSS
4,VSS
6,VSS
8,VSS
10,VSS
12,VSS
14,VSS
16,VSS
18,VSS
20,VSS
22,VSS
24,VSS
26,VSS
28,VSS
30,RESERVED
32,VSS
34,VSS
36,VSS
38,VSS
40,VSS
42,VSS
44,VSS
46,VSS
48,VSS
50,VSS
52,VSS
54,VSS
56,VSS
58,VSS
60,RESERVED
62,VSS
64,CAL_GND_OR_DGS
66,VSS
67,CAL_FORCE
68,VSS
