Pin Designator,Net Name
1,VDD
2,data_gnt_i
3,data_rvalid_i
4,data_we_o
5,serdes_data_be_o[1]
6,serdes_data_be_o[0]
7,serdes_data_addr_o[15]
8,serdes_data_addr_o[14]
9,serdes_data_addr_o[13]
10,serdes_data_addr_o[12]
11,serdes_data_addr_o[11]
12,VSS
13,serdes_data_addr_o[10]
14,serdes_data_addr_o[9]
15,serdes_data_addr_o[8]
16,serdes_data_addr_o[7]
17,serdes_data_addr_o[6]
18,serdes_data_addr_o[5]
19,serdes_data_addr_o[4]
20,serdes_data_addr_o[3]
21,serdes_data_addr_o[2]
22,serdes_data_addr_o[1]
23,serdes_data_addr_o[0]
24,serdes_data_wdata_o[15]
25,serdes_data_wdata_o[14]
26,serdes_data_wdata_o[13]
27,VDD
28,serdes_data_wdata_o[12]
29,serdes_data_wdata_o[11]
30,serdes_data_wdata_o[10]
31,serdes_data_wdata_o[9]
32,serdes_data_wdata_o[8]
