Pin Designator,Net Name
1,serdes_data_rdata_i[15]
3,serdes_data_rdata_i[13]
5,serdes_data_rdata_i[11]
7,serdes_data_rdata_i[9]
9,serdes_data_rdata_i[7]
11,serdes_data_rdata_i[5]
13,serdes_data_rdata_i[3]
15,serdes_data_rdata_i[1]
17,serdes_data_addr_o[15]
19,serdes_data_addr_o[13]
21,serdes_data_addr_o[11]
23,serdes_data_addr_o[9]
25,serdes_data_addr_o[7]
27,serdes_data_addr_o[5]
29,serdes_data_addr_o[3]
31,serdes_data_addr_o[1]
35,serdes_data_rdata_i[14]
37,serdes_data_rdata_i[12]
39,serdes_data_rdata_i[10]
41,serdes_data_rdata_i[8]
43,serdes_data_rdata_i[6]
45,serdes_data_rdata_i[4]
47,serdes_data_rdata_i[2]
49,serdes_data_rdata_i[0]
51,serdes_data_addr_o[14]
53,serdes_data_addr_o[12]
55,serdes_data_addr_o[10]
57,serdes_data_addr_o[8]
59,serdes_data_addr_o[6]
61,serdes_data_addr_o[4]
63,serdes_data_addr_o[2]
65,serdes_data_addr_o[0]
2,VSS
4,VSS
6,VSS
8,VSS
10,VSS
12,VSS
14,VSS
16,VSS
18,VSS
20,VSS
22,VSS
24,VSS
26,VSS
28,VSS
30,RESERVED
32,VSS
34,VSS
36,VSS
38,VSS
40,VSS
42,VSS
44,VSS
46,VSS
48,VSS
50,VSS
52,VSS
54,VSS
56,VSS
58,VSS
60,RESERVED
62,VSS
64,CAL_GND_OR_DGS
66,VSS
67,CAL_FORCE
68,VSS
