Pin Designator,Net Name
1,VSS
2,rst_ni
3,test_en_i
4,hard_id_shift_en
5,hard_id_serial_in
6,boot_addr_shift_en
7,boot_addr_serial_in
8,scan_in_serdes_a_p
9,VDD
10,scan_out_serdes_a_p
11,scan_in_serdes_b_p
12,scan_out_serdes_b_p
13,instr_req_o
14,instr_gnt_i
15,instr_rvalid_i
16,VSS
17,serdes_instr_addr_o[15]
18,serdes_instr_addr_o[14]
19,serdes_instr_addr_o[13]
20,serdes_instr_addr_o[12]
21,serdes_instr_addr_o[11]
22,serdes_instr_addr_o[10]
23,serdes_instr_addr_o[9]
24,VDD
25,serdes_instr_addr_o[8]
26,serdes_instr_addr_o[7]
27,serdes_instr_addr_o[6]
28,fast_clk_i
29,slow_clk_i
30,serdes_instr_addr_o[5]
31,VSS
32,serdes_instr_addr_o[4]
