Pin Designator,Net Name
1,instr_err_i
3,instr_gnt_i
5,boot_addr_serial_in
7,hart_id_serial_in
9,core_sleep_o
11,alert_major_internal_o
13,fetch_enable_i
15,irq_external_i
17,irq_software_i
19,irq_fast_i[13]
21,irq_fast_i[11]
23,irq_fast_i[9]
25,irq_fast_i[7]
27,irq_fast_i[5]
29,irq_fast_i[3]
31,irq_fast_i[1]
35,instr_rvalid_i
37,instr_req_o
39,boot_addr_shift_en
41,hart_id_shift_en
43,alert_major_bus_o
45,alert_minor_o
47,irq_nm_i
49,irq_timer_i
51,irq_fast_i[14]
53,irq_fast_i[12]
55,irq_fast_i[10]
57,irq_fast_i[8]
59,irq_fast_i[6]
61,irq_fast_i[4]
63,irq_fast_i[2]
65,irq_fast_i[0]
2,VSS
4,VSS
6,VSS
8,VSS
10,VSS
12,VSS
14,VSS
16,VSS
18,VSS
20,VSS
22,VSS
24,VSS
26,VSS
28,VSS
30,RESERVED
32,VSS
34,VSS
36,VSS
38,VSS
40,VSS
42,VSS
44,VSS
46,VSS
48,VSS
50,VSS
52,VSS
54,VSS
56,VSS
58,VSS
60,RESERVED
62,VSS
64,CAL_GND_OR_DGS
66,VSS
67,CAL_FORCE
68,VSS
